id;nome;cnpj;razao_social;inscricao_estadual;inscricao_municipal;responsavel;cep;endereco;numero;complemento;bairro;telefone;email;observacao;created_by;created_date;last_modified_by;last_modified_date
1;slowly torn;who towardsXXX;meh winged;how;times;stealthily;coleslaw;nor;incidental;skeleton vigilant standard;jaunty pace beside;joyously bo;Tertuliano_Braga@gmail.com;ugh;wardrobe;2024-01-20T10:57:35;nickname;2024-01-20T14:13:37
2;lawful overconfidently knowingly;blubberXXXXXXX;until cross;skirt desire subpoen;scarcely;urban gee;keenly e;yet;reconquer ;rusty for;mindless reference up;immaculate ;Joana21@bol.com.br;small above apud;where;2024-01-20T06:34:49;barring outlying;2024-01-19T21:12:34
3;intervenor acrylic er;countermand wh;so overfly yesterday;grand for;alongside;yahoo phooey;confecti;castigate;unless col;like kindness worse;bead;gah hamper;Heitor.Macedo76@hotmail.com;woefully;beside cap;2024-01-20T10:09:31;bah;2024-01-19T20:03:12
4;razz pristine;funny into uh-;geez tidy;inasmuch irrigate;misjudge sleepily;quota;eyrieXXX;before attest;near;rummage uselessly oof;ouch qua which;questioning;Morgana_Martins28@hotmail.com;kitten celebrated;ack;2024-01-20T16:44:49;gah maple;2024-01-20T00:41:25
5;gadzooks dense;generally sole;reek gee since;sack amongst;pish yippee;cruelly boohoo unnecessarily;ajar gee;dip down against;enormously;salute meanwhile;during rapidly veneer;brag forXX;Gael32@gmail.com;sans whose evenly;blanch before;2024-01-20T09:40:29;shovel bah;2024-01-20T09:18:46
6;trapezium meanwhile;by calmlyXXXXX;keep;if phew;quickly technician d;since urgently imbue;among be;sans;diligently;forthright;steep inasmuch;er undermin;Alessandro.Melo68@yahoo.com;why;denationalise until;2024-01-20T13:58:40;swivel reclaim zowie;2024-01-20T06:17:21
7;unless defender;so chuckleXXXX;yowza acidic;zealous ostracise wo;excepting;trader even;ahXXXXXX;carelessly;ugh maunde;bleak driving;when woozy;brr unnatur;JoaoMiguel_Barros78@hotmail.com;shoo gamma-ray whether;under amidst;2024-01-20T00:28:21;gah starry;2024-01-19T17:46:19
8;grammar;fulfill self-r;among like;blissful zowie;moon over loose;shoulder;micropho;modulo sardonic yum;via;when;shipping;furthermore;Gustavo.Reis@bol.com.br;far;yowza boo;2024-01-20T01:55:00;boohoo ouch;2024-01-19T20:13:21
9;generously shoehorn distorted;tergiversate c;toughen the;provided;meh before;psst after;worriedl;roughen against extinguish;finally em;traveler;furthermore freeload cluster;generously ;Sara_Moraes@yahoo.com;yieldingly;ennoble;2024-01-19T21:04:21;leading woot;2024-01-19T19:51:59
10;knowingly;eek henceXXXXX;tensely troubled;aw kindly;nor over;provided;unless e;than;gadzooks t;valuable merrily politely;or froth revolving;whereXXXXX;Sirineu.Souza@bol.com.br;bunch separate flaky;pore;2024-01-20T04:54:57;than symbolise;2024-01-19T19:54:24
