id;tipo;email;telefone;assunto;mensagem;data_hora_envio;data_hora_leitura;lido;data_leitura;removido;created_by;created_date;last_modified_by;last_modified_date
1;TRANSPORTADORA;Calebe.Moraes@hotmail.com;geez shock ;pace;keyboard before;2024-01-19T23:01:34;2024-01-20T10:36:55;true;2024-01-20T06:12:05;true;loudly;2024-01-19T19:10:04;tattered enthusiastically kindly;2024-01-20T03:29:30
2;TRANSPORTADORA;Hugo64@gmail.com;woot ouch b;because;ah spritz duh;2024-01-20T00:25:12;2024-01-20T15:20:27;true;2024-01-20T11:45:01;true;swiftly likewise;2024-01-20T11:13:37;immediately cement allude;2024-01-20T12:03:34
3;TRANSPORTADORA;Maria.Saraiva@bol.com.br;cauteriseX;ew;despite hake likely;2024-01-20T15:14:23;2024-01-19T23:46:31;false;2024-01-20T01:49:13;false;because;2024-01-19T20:53:42;molder onto yuck;2024-01-20T04:32:42
4;TRANSPORTADORA;Arthur.Carvalho15@hotmail.com;disloyal um;whether ew oof;knowledgeable sweet;2024-01-20T01:44:02;2024-01-20T04:41:16;true;2024-01-19T17:32:04;false;allay;2024-01-20T05:07:01;splinter livid imbue;2024-01-20T03:42:54
5;TRANSPORTADORA;Roberta_Silva9@hotmail.com;um whoaXXX;occur;fireplace smoothly;2024-01-20T14:52:46;2024-01-20T06:35:10;true;2024-01-20T04:18:59;false;needily;2024-01-20T04:43:14;infantilize by painfully;2024-01-20T04:25:23
6;TRANSPORTADORA;Giovanna92@live.com;where thrif;now;uniform as;2024-01-20T03:18:15;2024-01-20T02:29:03;true;2024-01-20T08:42:03;false;underneath via aha;2024-01-19T21:21:49;gracious blissfully sweaty;2024-01-20T03:51:57
7;TRANSPORTADORA;Roberto29@bol.com.br;how dratXX;frankly nor;ton tin;2024-01-20T09:45:37;2024-01-20T15:03:32;true;2024-01-20T04:10:47;true;meh obediently;2024-01-20T06:58:05;anenst reflecting briefly;2024-01-20T16:26:50
8;EMBARCADOR;Isabelly.Albuquerque@hotmail.com;engorge zin;inside amidst crinkle;shoot requisition;2024-01-20T03:28:57;2024-01-19T17:11:26;false;2024-01-19T20:10:44;false;lest plus;2024-01-20T06:37:23;citizen too;2024-01-19T17:09:47
9;EMBARCADOR;Kleber.Moraes@bol.com.br;given sinfu;exit write;near;2024-01-20T07:38:39;2024-01-20T08:49:54;false;2024-01-20T17:03:02;true;song;2024-01-19T22:02:19;boo;2024-01-19T23:10:26
10;EMBARCADOR;Lavinia56@gmail.com;speedilyXX;usually data dearly;cheerfully modulo though;2024-01-19T17:46:59;2024-01-20T08:54:17;true;2024-01-20T08:08:08;true;nut flawless;2024-01-19T20:15:27;quiet;2024-01-19T22:59:58
