id;nome;cnpj;razao_social;inscricao_estadual;inscricao_municipal;responsavel;cep;endereco;numero;complemento;bairro;telefone;email;observacao;created_by;created_date;last_modified_by;last_modified_date
1;lazily blindly guitar;unleash earlyX;list apropos upliftingly;bumpy;false;uh-huh poorly;how glam;graft;brawl;following spume faraway;brr;if oof time;JoaoMiguel_Moreira43@gmail.com;recipient brake till;broadly consent likewise;2024-01-20T10:04:23;woot;2024-01-19T22:42:52
2;agreeable yahoo;mini bowed foo;adulthood;abjure phooey;testy yet;joke;huzzah a;headache like awake;easily sur;immaculate drug because;careless willfully mod;aproposXXX;Lorraine_Xavier@gmail.com;dreary;man;2024-01-20T01:02:58;failing solicitation stylish;2024-01-20T03:59:08
3;dimly;fairlyXXXXXXXX;wildly dental;criminal vastly;crisp about;tomorrow;silently;needily;reassuring;beautifully usefully;aw;nocturnalX;Cesar_Moreira@bol.com.br;seclude tergiversate psst;aw;2024-01-19T19:37:10;through gee intelligent;2024-01-19T21:20:40
4;lawful drat into;cooking sinceX;phooey youthfully;copyright bah or;calculus besides ter;impractical till loudly;ack afor;trawl daily huzzah;while;shakily speedy sans;notwithstanding ick uh-huh;frogmarchX;Isaac.Braga@yahoo.com;visitor interpretation;yet;2024-01-20T03:55:17;meh;2024-01-20T15:01:19
5;painfully opposite aw;old loneliness;anenst throughout carefully;ionise meh revolving;level gladly;um zoom;humble a;poised who;mechanical;welcome unlike;powerfully dependable;likeXXXXXX;Murilo_Franco@live.com;peep eek provided;generally;2024-01-20T14:26:07;finally gosh;2024-01-20T04:11:15
6;meanwhile midst;clunkXXXXXXXXX;scornful gosh;than ouch;breeze however notwi;corral evening-wear pocketbook;dratXXXX;stink swing;until ferr;fooey solidly selection;give before unhappy;unimpressiv;Norberto.Moreira@gmail.com;unhappy;behind white;2024-01-20T10:55:55;whether hm lead;2024-01-20T11:03:37
7;nor mail;past dimlyXXXX;footprint;tightly;lest before quirkily;unto;yet befo;boohoo provided island;lob comman;because;artery coaxingly;except broa;Rebeca.Martins@bol.com.br;different;resort abort recent;2024-01-20T01:27:42;ah prudent;2024-01-20T05:37:53
8;after multimedia ha;upon seagullXX;control correctly;before boldly;email;fooey;except r;pro share;gee;hoax ick fame;round plumb;houndXXXXX;Gabriel_Souza@live.com;besides;stud infamous brr;2024-01-20T09:15:25;risk grandfather;2024-01-20T16:38:49
9;compile;avalanche apol;traumatise;surprisingly;bah;shrill shameless loose;button b;rough easily;serum outg;energize or;upright;including u;MariaHelena.Oliveira34@gmail.com;limestone against meh;bah meanwhile;2024-01-20T12:32:35;accident;2024-01-20T08:23:41
10;making ick;who brrXXXXXXX;authorization withdrawal;mammoth;supposing cenotaph s;monstrous ah;drat bel;spring whoa;exactly up;nervously;rapid;remodelXXX;Julia.Moreira42@bol.com.br;oh;seemingly mid nor;2024-01-20T15:16:54;sparse inculcate;2024-01-20T07:37:07
